week_label,名前,武勲,勢力値
8/24〜,甘興覇,98992,18250
8/24〜,魏無羨,96695,29724
8/24〜,犬ナオコ,94957,16724
8/24〜,ボラギノール,93726,20161
8/24〜,便利屋,87893,22742
8/24〜,SHUNJI,87048,19748
8/24〜,天陽。,86566,21199
8/24〜,漆喰(白),86360,16371
8/24〜,宇留千絵,84155,18816
8/24〜,i.,80042,22133
8/24〜,名犬チーズ,78067,20540
8/24〜,☀李信☀,77798,20971
8/24〜,浪子｜雪山啤酒,77786,24653
8/24〜,まーさんZ,76936,17980
8/24〜,八宝菜,76684,13744
8/24〜,俊志,76447,22494
8/24〜,ピスタチオ,74664,11703
8/24〜,さぶろー,73802,19219
8/24〜,ジョージ,73264,18111
8/24〜,たけ33サブ,69963,19917
8/24〜,元楽園jun,69089,9813
8/24〜,かばごん,68443,19915
8/24〜,5,68434,18213
8/24〜,飛五隊,66741,20459
8/24〜,R-102,65129,23031
8/24〜,風船蔓,63130,20592
8/24〜,風魔,60567,16164
8/24〜,武劉祐徳,58031,27213
8/24〜,そんそん,57914,19644
8/24〜,猫の太公望,54848,23526
8/24〜,漆喰(船),51091,14717
8/24〜,lovin.,46819,19501
8/24〜,演員,45432,17670
8/24〜,真・虎狼,39687,16822
8/24〜,にゃんこ戦争,35227,12674
8/24〜,アルバイトz,32180,26294
8/24〜,カモンスキー,28982,25859
8/24〜,張良子房,27505,16906
8/24〜,廉,25203,22292
8/24〜,桂馬,22134,15473
8/24〜,義孝01,21333,17017
8/24〜,朱和,7356,17780
8/24〜,さすらい⚡,1259,7492
